orthogroup	species	hpf	ex
OG0015467	LV	0	1.8051721572221713
OG0015467	LV	2	1.5726177650709199
OG0015467	LV	3	1.8838196981814737
OG0015467	LV	4	2.040653671814025
OG0015467	LV	10	7.421979248304
OG0015467	LV	16	9.330014888973224
OG0015467	LV	24	8.981069730235228
OG0018027	LV	0	-2.411988106284428
OG0018027	LV	2	-2.418759042124546
OG0018027	LV	3	-2.41969950911127
OG0018027	LV	4	-2.419782835460801
OG0018027	LV	10	-2.4185224958850013
OG0018027	LV	16	-2.419951426058915
OG0018027	LV	24	-2.4140395849385152
OG0016795	LV	0	-0.5487851359966455
OG0016795	LV	2	-0.508927154122619
OG0016795	LV	3	-0.5882394254449614
OG0016795	LV	4	-0.5768313669474336
OG0016795	LV	10	-0.2276745096945189
OG0016795	LV	16	-0.06855980043323744
OG0016795	LV	24	0.01103286290195371
OG0013250	LV	0	-0.06991731012746842
OG0013250	LV	2	-0.1705720884778879
OG0013250	LV	3	-0.2949390437352828
OG0013250	LV	4	-0.03393741195117969
OG0013250	LV	10	-0.0505455458445902
OG0013250	LV	16	0.7456661963461039
OG0013250	LV	24	0.9140483387654929
OG0013251	LV	0	0.9717350664615173
OG0013251	LV	2	0.6937353879998097
OG0013251	LV	3	0.501924656012463
OG0013251	LV	4	0.8701591009789669
OG0013251	LV	10	0.9044071756953203
OG0013251	LV	16	1.4977756458079134
OG0013251	LV	24	1.1235438251745284
OG0013030	LV	0	9.33452079280939
OG0013030	LV	2	9.344184116580433
OG0013030	LV	3	8.88291948910079
OG0013030	LV	4	8.341494529258824
OG0013030	LV	10	8.558859870122529
OG0013030	LV	16	8.335024077288423
OG0013030	LV	24	8.228586682883762
OG0013031	LV	0	0.13968001369804137
OG0013031	LV	2	-0.31083457256024893
OG0013031	LV	3	-0.3481683790708311
OG0013031	LV	4	-0.34951464726835263
OG0013031	LV	10	-0.05562857538191679
OG0013031	LV	16	-0.3573454295447462
OG0013031	LV	24	2.129416009900356
OG0013032	LV	0	6.506640223291734
OG0013032	LV	2	6.591208062435628
OG0013032	LV	3	5.961354637159701
OG0013032	LV	4	6.1918183581517185
OG0013032	LV	10	5.537714094109899
OG0013032	LV	16	5.4198827013005
OG0013032	LV	24	4.852322105018901
OG0010128	LV	0	7.996984621152171
OG0010128	LV	2	8.233231653450757
OG0010128	LV	3	7.903216908536232
OG0010128	LV	4	7.935597406274547
OG0010128	LV	10	8.9094006195678
OG0010128	LV	16	9.462595447240666
OG0010128	LV	24	8.471048596770851
OG0017190	LV	0	7.5658218456943525
OG0017190	LV	2	7.850984916028178
OG0017190	LV	3	7.384732579101718
OG0017190	LV	4	7.701423068727909
OG0017190	LV	10	8.205522770879735
OG0017190	LV	16	7.768507911778766
OG0017190	LV	24	8.32762233748203
OG0003082	LV	0	2.0643554097795684
OG0003082	LV	2	2.1259199936262547
OG0003082	LV	3	1.7485343084478087
OG0003082	LV	4	2.820677829201066
OG0003082	LV	10	5.199023905420395
OG0003082	LV	16	4.1731332605954305
OG0003082	LV	24	3.4981256569735906
OG0013033	LV	0	9.630056734907221
OG0013033	LV	2	8.714396637578506
OG0013033	LV	3	8.318132129508582
OG0013033	LV	4	8.395239137093574
OG0013033	LV	10	8.094000109322383
OG0013033	LV	16	8.38789033482756
OG0013033	LV	24	8.501766436547758
OG0009895	LV	0	11.222242551693022
OG0009895	LV	2	10.385901651732123
OG0009895	LV	3	10.611200706572259
OG0009895	LV	4	10.552233751076152
OG0009895	LV	10	8.928362953642061
OG0009895	LV	16	8.53004849228126
OG0009895	LV	24	7.976968406874426
OG0009896	LV	0	7.748347018543591
OG0009896	LV	2	7.258561878544626
OG0009896	LV	3	7.027174686950763
OG0009896	LV	4	7.05767724847801
OG0009896	LV	10	7.351568641354169
OG0009896	LV	16	7.551279395790877
OG0009896	LV	24	7.5256764739479305
OG0013035	LV	0	8.284906948150349
OG0013035	LV	2	8.371729799142257
OG0013035	LV	3	8.812825770019852
OG0013035	LV	4	8.532984782877913
OG0013035	LV	10	8.641946822604039
OG0013035	LV	16	8.081652872843572
OG0013035	LV	24	7.569761053911058
OG0005109	LV	0	9.072311639067697
OG0005109	LV	2	10.285026435191755
OG0005109	LV	3	9.810473485283573
OG0005109	LV	4	10.327692206093337
OG0005109	LV	10	9.161911034314539
OG0005109	LV	16	9.000810551677251
OG0005109	LV	24	8.936558695409937
OG0009897	LV	0	7.213190401649107
OG0009897	LV	2	8.259119791898723
OG0009897	LV	3	9.088816123695974
OG0009897	LV	4	8.825994516996989
OG0009897	LV	10	5.840590825369898
OG0009897	LV	16	7.009742756891328
OG0009897	LV	24	6.613020739968033
OG0003084	LV	0	9.44959624191808
OG0003084	LV	2	8.796476207033333
OG0003084	LV	3	9.364437256420125
OG0003084	LV	4	9.187450642633584
OG0003084	LV	10	8.222278805839963
OG0003084	LV	16	8.491095115468932
OG0003084	LV	24	8.639398789037857
OG0009898	LV	0	5.548305163274745
OG0009898	LV	2	6.3640051329580425
OG0009898	LV	3	6.49915971993196
OG0009898	LV	4	6.3297117404955685
OG0009898	LV	10	7.681779226769227
OG0009898	LV	16	7.9141770043256665
OG0009898	LV	24	8.264237651752413
OG0016802	LV	0	3.576222067724602
OG0016802	LV	2	2.3926543249586048
OG0016802	LV	3	2.111363558531719
OG0016802	LV	4	1.9942088128306839
OG0016802	LV	10	6.073301289723582
