H_ery_ID	HE16cellA	HE16cellB	HE16cellC	HE32cellA	HE32cellB	HE32cellC	HE4cellA	HE4cellB	HE4cellC	HEEGGA	HEEGGB	HEEGGC	HEGA	HEGB	HEGC	HEMBA	HEMBB	HEMBC	HEPRA	HEPRB	HEPRC
HER_32412.t1	25.50	47.17	49.33	25.67	10.67	16.50	13.67	9.17	31.67	0.83	3.33	0	2	8.17	9.33	9.33	10.67	10.67	9.17	4.17	3.17
HER_31545.t1	0	0	0	0.20	0	0.25	0.20	0.33	0	0.25	0.33	0	1	0	0	0.14	0	0	0	0	0
HER_34131.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10	0	0.42	0	0	0	0	0
HER_32204.t1	0	0	0.50	0	0	0	20	9.17	0.50	0	16.83	0	2	0.50	1	0.50	0	0	0	0	0
HER_33038.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HER_31741.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0.33	0.25	0	0
HER_32136.t1	0	0	0	0	0	0	0	0.50	0	0	0	1.60	0	0.50	0	0	0	0	0	1	0
HER_33116.t1	0.50	0	0	0	0	0.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_32009.t1	1514.00	647	693.00	349.50	1171.67	535.50	716	489	403.50	279.50	280.50	191	70	58.50	55	102	169	67	92.50	58.50	31.50
HER_32053.t1	0	0	0	0	0.33	0	0	0	0	0	0.20	0	0	0	2.67	3.50	4.33	2	1	0	0.33
HER_32588.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_33966.t1	0	0	1.02	0.33	0.17	0	0.31	0.11	0.25	0	0.10	0.17	0.14	4.56	0	0.25	0	0.89	0.64	0.17	10.55
HER_33457.t1	0	0	0	0	0	0	0	0	0	0.33	0	0	0.33	0	0	0.33	0	0	0	0	0
HER_31664.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_32377.t1	27	14.50	22.50	8.50	14.50	17.83	30	10.50	10	7.50	2	20.50	90.50	45	52.50	18	21	26.50	134.50	84	37.50
HER_34172.t3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_32110.t1	608.33	402.42	557.00	118	259.50	417.25	336.53	202.67	304.39	46.50	87.50	105.50	126.50	269.83	151	392.79	401	361.17	332.33	308.67	97
HER_33630.t2	275	234.25	356.25	81	117.25	186	144	220	104.25	90.25	74	33	246.25	505.50	233	400.25	389	352	506.25	354.75	241.75
HER_33630.t1	217	163.75	249.25	66	88.75	130	110	155	70.25	57.75	51	22	142.75	360.50	160	287.25	282	243	353.25	236.75	172.25
HER_32271.t1	0	0.58	0.33	0	0	0	0	0.33	0	0	0	0	0	0	0	56.15	12.10	7.95	0.33	0	0.33
HER_34484.t1	0.31	0.10	0.12	0	0	0.91	0.45	0.11	0.69	0.21	0.27	0.42	4.17	1.76	0.63	2.52	1.31	7.98	4.96	4.77	0.28
HER_33813.t1	0	0	0.25	0	0	0	0.20	0.20	0	0	0	0.25	4.18	3.33	7.63	8.15	8.50	20.83	12.16	12.58	0.90
HER_32353.t1	1096.50	663	367.90	553.50	917.50	263.50	413.50	175.33	461.50	26	62	54.50	136.50	144.50	105	111	40.50	126.50	258.24	135.33	78.50
HER_33057.t1	268.98	650.22	161.52	286.65	155.45	216.77	91.47	111.12	63.78	17.42	18.07	18.65	65.51	183.38	53.03	386.78	202.35	475.85	290.02	191.93	36.40
HER_33743.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3.50	3.33	0.50	0	1	0	0
HER_32043.t1	0	0	2.62	0.25	0	0.33	0.58	0	0	0	0	0.25	3.33	1.75	3.50	12.37	0.25	1	3.78	2.43	3.11
HER_33597.t1	1484	1006	1045	466	902	760	421	445	317	56	107	67	124	200	144	421	762	398	223	176	63
