H_ery_ID	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_1	104882	149542	136865	69632	41478	35282	28531	22875	27144	92087	57320	88636	73256	146038	56119	67699	70736	49055	49020	38801	43862
HER_10	0	0	0	1	3	1	15	8	1	3	6	6	1	4	4	0	4	3	4	2	1
HER_1000	0	1	0	2	1	1	6	0	0	2	3	2	18	7	32	142	274	143	179	146	81
HER_10000	1	3	0	1	2	3	0	2	0	0	1	15	0	1	1	1	1	0	0	3	1
HER_10001	0	0	1	0	0	0	0	0	0	0	0	0	4	4	9	2	5	5	6	3	3
HER_10002	0	0	0	0	0	0	0	0	0	0	0	0	10	19	8	5	13	9	3	2	5
HER_10003	4	0	4	42	8	6	4	8	38	4	5	303	33	266	6	12	22	7	4	4	6
HER_10004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_10005	0	0	0	0	0	2	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0
HER_10006	6	10	16	88	86	93	490	279	194	309	556	206	243	300	111	50	131	107	111	142	53
HER_10007	0	0	1	4	3	7	32	16	16	15	24	12	15	16	6	3	4	5	5	10	5
HER_10008	0	1	2	4	6	8	55	26	14	16	38	16	20	18	7	3	7	8	10	12	2
HER_10009	0	0	0	1	0	0	14	4	5	2	7	2	3	2	1	1	1	0	2	3	0
HER_1001	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	1	1
HER_10011	0	0	0	0	0	0	1	5	1	6	2	1	17	8	16	2	1	0	10	2	0
HER_10012	0	0	0	0	0	0	0	0	0	0	0	0	11	4	1	1	2	0	1	0	0
HER_10013	0	0	0	0	0	0	1	3	0	1	0	0	0	3	1	4	0	0	7	0	0
HER_10014	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
HER_10016	0	0	1	0	0	1	0	3	1	0	2	0	4	5	3	11	5	2	15	4	2
HER_10017	48	56	53	101	64	96	256	154	116	63	128	115	235	206	346	415	558	508	1146	897	479
HER_10019	4	2	0	3	6	188	72	599	9	265	59	5	7	11	326	4	1	22	151	92	0
HER_1002	2	0	0	2	3	2	4	2	9	3	3	0	7	2	3	12	14	10	8	7	1
HER_10020	125	145	203	645	757	636	1091	778	1337	368	524	936	402	478	410	452	544	516	908	698	301
HER_10021	4	0	1	5	11	1	4	0	4	1	3	0	54	120	0	8	11	5	0	0	2
HER_10022	0	0	0	0	0	0	0	16	0	16	0	0	16	0	38	12	0	0	130	94	0
HER_10023	58	87	39	65	87	56	58	13	35	12	19	35	96	99	73	63	64	50	87	46	24
HER_10024	3	3	0	12	12	13	5	13	2	10	5	12	2	4	3	1	2	2	7	6	0
HER_10025	2	10	0	8	10	17	16	22	4	35	23	40	2	7	2	0	2	4	3	4	0
HER_10027	25	36	34	132	107	157	199	165	254	109	135	164	132	160	198	44	100	219	89	89	43
HER_10029	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
HER_1003	10	35	38	452	165	187	233	598	386	210	136	48	538	326	381	268	337	372	250	225	93
HER_10030	0	0	0	1	0	0	0	0	0	0	0	0	2	6	2	1	0	2	4	2	0
HER_10031	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HER_10032	32	62	50	152	193	139	491	262	489	82	221	278	1337	906	668	301	477	264	510	340	118
HER_10035	1	1	0	4	0	3	1	2	3	0	0	3	2	4	2	1	1	1	4	2	2
HER_10036	56	44	47	95	98	42	157	75	85	60	94	98	30	58	27	91	43	56	125	103	85
HER_10037	3	22	10	3	10	0	158	2	60	3	74	15	38	27	13	11	7	2	7	6	19
HER_10038	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HER_10039	511	916	575	1186	1360	1165	1940	1634	2029	707	1117	1970	2106	1720	955	359	590	540	636	565	212
HER_1004	0	0	0	1	1	0	0	0	2	0	0	0	1	1	0	0	1	1	0	0	1
HER_10040	20	19	18	278	198	177	220	305	423	174	191	303	103	90	43	34	106	104	48	67	25
HER_10041	0	4	0	8	10	1	3	0	1	0	4	3	6	4	3	0	6	6	10	12	3
HER_10043	2	2	2	4	1	2	2	1	0	0	2	4	4	4	2	3	4	3	22	14	7
HER_10044	0	5	12	40	19	26	2	5	1	4	2	12	62	91	58	52	37	68	66	51	20
