H_tub_ID	HT16cellA	HT16cellB	HT16cellC	HT32cellA	HT32cellB	HT32cellC	HT4cellA	HT4cellB	HT4cellC	HTEGGA	HTEGGB	HTEGGC	HTGA	HTGB	HTGC	HTMBA	HTMBB	HTMBC	HTPRA	HTPRB	HTPRC
HTU_6108.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	1
HTU_6079.t1	1265	1312.50	775.17	1235.83	1073.50	915.67	469	910.50	791	69	132	111	20.50	19	14	51	52	28.50	20	20.50	15.50
HTU_6292.t1	0	0	0	0.50	0	0	0	0	0	0	0	0	1.50	0	4	0	0	0	3	0	1
HTU_6263.t1	359.67	349.75	406.17	368.33	317.33	482.50	102	330.67	346.67	124.50	201.17	90.67	132.50	197	162.67	130.50	129.50	119.83	192.17	299.17	179.50
HTU_6319.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_7104.t1	0	0	0.10	0	0	0	0.11	0.11	0	0	0	0	0	0.11	0.60	0.12	0.10	0	0.10	0	0
HTU_6116.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0.44	1.72	0.67	1.80	0.66	3.96	4.88	2.24
HTU_6889.t1	0	3.67	1.83	0.31	4.58	1.75	4.09	1.42	0	7.88	0.75	0.25	3.57	3.75	8.37	42.82	10.23	6.71	2.58	0.96	1.25
HTU_6889.t1.1.5f2cc979	0	3.67	1.58	0.17	4.00	1.83	3.08	1.17	0	6.08	0.75	0	1.17	3.00	4.50	39.16	9.75	6.33	2.33	0.96	1.25
HTU_6059.t1	3.50	2	5.50	3.50	1.50	6	0.50	2.50	1.50	4.50	6.67	3.17	8.33	6.90	2.20	4.00	4.60	5.97	57.87	26.70	42.53
HTU_5711.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_6014.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_7421.t1	4.16	2.60	1.43	2.66	2.65	0.76	2.04	2.11	1.88	0.54	1.09	0.64	0.50	0	0	0.14	1.65	0.40	0.79	1.49	0.79
HTU_7424.t1	0	0	0	0	0	0	0	0	0	0	0.12	0	0.29	0.60	0.69	0.12	0.46	0.12	0.73	0.50	0.25
HTU_6410.t1.1.5f2cc984	464.17	354.75	493.45	485.33	336.58	673.75	148.42	314.08	371.67	202.17	192.92	208.33	150.00	167.00	121.92	305.42	354.08	197.03	200.08	198.87	195.83
HTU_6410.t1	426.67	353.52	471.35	480.83	310.08	611.25	122.03	304.68	334.27	176.67	214.92	214.67	97.50	117.17	91.62	245.42	271.83	146.83	129.08	123.17	129.46
HTU_5753.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_7519.t1	0.77	2.33	2.04	4.65	3.82	3.56	1.19	2.36	1.83	0.25	0.46	0	86.80	86.64	52.15	46.31	72.16	84.07	64.03	46.84	80.15
HTU_7374.t2	509.50	668	471.50	516	467.50	541	58.50	325.50	445.50	278	136	284.50	141.50	180.50	166	194	214.50	143	231.75	199.83	219.50
HTU_7374.t1	537.50	682	478.50	538	490.50	549	62	335	459.50	287	145	296.50	133.50	178.50	160	189	209.50	140	234	195.50	219.50
HTU_6754.t1	21	22	13.50	22	34	23	9.50	29	53	4	9	7.50	6.50	11	11	7	12.50	3	5	4	8
HTU_6153.t1	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0.50	0	0	0	0	0	0	0
HTU_7117.t1	0	0	1	1	0	1	0	2	0	2	1	0	1	0	3	0	1	0	7	8	0
HTU_7547.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.50	0	0	1.50	1	0	1.50	1.50	3.50
HTU_6401.t1	0	0.50	0.50	1	0	0	0	0	0	0	0	0	1.50	1.50	0.50	1.50	3.50	0	3.50	3	0.50
HTU_5580.t1	0.70	0.83	0.20	1.34	0.20	0.65	0.38	0	1.50	0	0	0	0	0	0.50	0.50	0	0	0	0	0
HTU_6828.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_5926.t1	1222.50	1146	769.50	1257.00	714.50	955.00	123	583	636.50	172.50	203.50	241	261	270.50	385.50	569.50	453	380	482.50	560	425.50
HTU_5926.t2	217.50	188	136.50	225	141.50	182.00	48	117	130.50	38.50	50.50	63	57	62.50	78.50	102.50	82	78	85.50	123	79.50
HTU_6694.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	3	2
HTU_5705.t1	31	188.00	4	24.17	161.17	6.83	3.67	4.67	11	1.67	1.83	5.50	26.83	57.33	216.00	63.83	40.17	189.83	79.17	101.17	6.67
HTU_6890.t1	0	1.00	0	0	0	0	0.67	0	0	0.33	0	0	2.33	6.00	6.67	39.17	10.00	4.50	24.17	1.00	23.83
HTU_5462.t1	6568.00	6645.67	17266.83	11011.43	10013.17	22362.75	11335.57	16055.00	7874.67	23625.23	47935.53	20733.07	14932.67	19613.17	17390.33	14452.17	11160.17	9635.17	24901.50	31942.33	25931.50
HTU_6104.t1	0.81	0.92	0.50	0.31	1.22	0.17	0.70	0	2.62	0.20	0	0.84	0.76	1.10	0.75	1.03	1.74	0.20	1.74	2.50	1.52
HTU_5666.t1	0	0.50	0	0	0.50	0	1.50	0	0	0	0	0	0	1	0	0	0	0	0	0.50	0.50
HTU_6590.t1	4	11	11	3	9	8	14	17	8	5	14	7	11	6	26	25	20	15	28	25	41
HTU_6603.t1	16	21	29	14	23	38	5	11	14	3	5	6	1	3	0	8	9	3	2	9.20	7
HTU_6696.t1	2	0	0	1	0	0	0	0	2	0	0	0	27	19	9	17	6.50	5	31	49.50	31
HTU_7204.t1_HTU_7205.t1	22	10	16	37	16	16	7	7	26	38	16	53	216	29	190	42	17	20	1861	1736	1753.50
HTU_6949.t1	1196.51	1283.27	613.23	1145.75	979.02	634.31	351.33	655.92	669.65	395.08	333.00	461.00	144.37	163.40	194.25	223.53	314.43	161.85	311.20	298.77	352.87
HTU_6831.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_6003.t1	6	3	1	7.17	4	1	1	0	0	0	0	0	57	51	28	70.25	58	86	128.25	85	120
HTU_6983.t1.1.5f2cc97a	479.02	600.28	481.31	548.03	648.93	631.37	238.37	394.20	381.68	110	89.14	81.08	318.70	429.34	608.83	785.51	919.71	526.41	407.38	370.09	392.59
HTU_6983.t1	337.50	374	313	342.07	386.50	403.50	121	255.50	200.50	61	48	41.50	178.50	273.75	338	443	546	309.50	237	214.60	230
HTU_6026.t1	6.75	4.90	1.69	6.31	4.42	2.34	1.54	4.36	4.83	0.62	0.81	0.64	0.87	2.07	3.48	4.28	10.30	1.81	49.40	68.60	40.33
HTU_6782.t1	882	833.83	417.83	845	484.50	543	118.50	415	381.40	261	283	177	160.50	206	255.50	605.00	717	378	125.50	129	107
HTU_5605.t1	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0.36	0	0
HTU_5673.t1	0	0	1	0.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_5656.t1	5	2	8	3.50	3	4.50	4	2.50	1.50	1	0.50	0.50	1.50	7	6.50	5	10	2	3	3.50	3.50
HTU_6938.t1	0	0	0	0.25	0.50	0	2.50	0	0.25	0	0	0	8.91	0	0.98	1.29	3.82	0.25	3.77	0.75	2.75
HTU_5794.t1	0	0.33	0	0	0	1	0	0	0	0	0	0	0	0	0.50	0.50	1.33	0	2	0	1.50
HTU_6301.t1	1798.50	1931.00	1545.50	1827.50	1799.17	1804.17	1042.50	1842.33	1812.33	455.75	379	479.67	109.50	181	150.50	176	198	109	159.50	189	150
HTU_7146.t1	16	121.47	11.20	16.37	85.37	9	3	23.47	2.37	4	7.17	4.11	5.77	28.82	5.99	19.42	37.93	3.40	4.20	5.25	4.20
HTU_6600.t1	1	2	1	3	2	0	1	0	2	1	0	0	1	8	6	6	1	0	87	71	87
HTU_6944.t1_HTU_6942.t1	3263.66	3492.30	1686.50	3021.61	2234.29	1727.38	596.17	1273.92	1627.68	671.92	541.50	864.17	312.37	336.90	389.75	586.80	730.92	325.15	633.49	541.93	634.12
HTU_5776.t1	9.83	8.00	17.50	15.33	3.50	24.83	3.50	15.17	5.00	2.83	1	2	10.50	13.17	9.83	10.83	6.00	8.67	12.67	14.50	15.50
