L_var_ID	LV16cellA	LV16cellB	LV16cellC	LV32cellA	LV32cellB	LV32cellC	LV4cellA	LV4cellB	LV4cellC	LVEGGA	LVEGGB	LVEGGC	LVGA	LVGB	LVGC	LVMBA	LVMBB	LVMBC	LVPRA	LVPRB	LVPRC
LVA_269.t1	0	0	1	0	0	0	0.20	0	0.25	0	0.58	0.25	15.11	0.66	14.55	15.44	0.25	14.76	13.23	4.08	3.28
LVA_321.t1	0	0	0	2	3	1	0	0	1	0	1	0	20	16	17	1	0	0	12	7	0
LVA_798.t1_LVA_801.t1	1.50	2	2	0.33	3.50	17	0	4.50	4.25	4.33	7.17	48.50	6	1	8.50	17.50	1.50	0.50	12.50	4	5.50
LVA_331.t1	2	2	92	3	2	1	22	9	6	12	0	6	3	0	0	4	0	1	34	88	70.00
LVA_739.t1	129.83	103	296.50	109	86.50	322.33	223	117.00	189	83.50	57.50	22	152.50	85	115.50	80.00	97	83.50	122.50	87.50	90
LVA_398.t1	671	448	446.00	200	414	517	662	421	155	310	66	502	164	90.00	157.00	71	121	163	272.00	165	117
LVA_860.t1	0	1	0	2	2	1.33	1	0	0.67	0	0	0	1.33	7.83	8.33	3.50	23.67	5.83	13.67	5.67	5.33
LVA_1314.t1	75	53	36	169	238	301	89.28	207	265.25	19	33.10	60.25	202.50	248	411	539	273	1137	120.00	52	75
LVA_1279.t1	377	56	1274	152	376.00	171	166	178	107.00	6	24	36	44	23	11	9	10	43.00	59	144	146.00
LVA_1206.t1	0	1	0	0	9	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
LVA_925.t1	3.50	7	14.50	7	10.83	5	7.50	1	8	0.50	0.50	1	5	3.50	3.50	3.50	0.50	2	15	24.83	23
LVA_576.t1	158.00	255	18	6	10	21	2	7	20	13	4	2	3169	1473	1811.00	1036.00	1368	1498.00	1933.00	1198.00	1115.00
LVA_108.t1	145.50	152	150.50	63.50	192.50	420	123.50	97.50	117	16	17.50	17.50	474	279	300.50	452.50	464	547	310.50	190	239
LVA_108.t1.1.5f2bf404	145.50	152	150.50	63.50	192.50	420	123.50	97.50	117	16	17.50	15.50	449	270	294.50	446.50	454	544	290.50	178	228
LVA_953.t1	0	0	0	0	0	0	0	0.50	0	0	0	0	0	0	0	0	2.50	0	0	0	0.50
LVA_155.t1	0.67	0.67	0	0	1.67	0.67	3.20	2.00	0.33	4.33	0.67	0.67	35.33	30.17	5.83	19.92	38.00	9.67	21.83	14.33	21.83
LVA_1344.t1	0	0	0	0	0	0	0	0	0	0	0	0	6.08	0	4.50	0	0	0	11.17	6.67	1.67
LVA_221.t1	21.50	4	6	8.50	41	0	12	1	8.50	2	0	0	4	1	2	0	7	1	3.50	10	30
LVA_1425.t1	2410	2655	2183.00	1343	1549.00	3940	1127	805	1501	326	272	406	1609	1004	995	2081	1496	1945.00	1166	1106.00	919.00
LVA_1300.t1	226	309	685.00	302.00	616.00	816.00	110	128	598	84	112	101	1104.00	544.00	1071.00	655.00	505.00	749.00	733.00	359.00	477.00
LVA_1364.t1	0	0	1.33	0	0	0	0	0	0	0	0	0	1.50	0	0	1.33	0	0	0	0	0
LVA_585.t1	1	0	0	15.50	66	0	1	7	48	1	2	2	0	2	2	2	1	25.25	17	2	0
LVA_466.t1	3.33	4	2	3	6	7	4.83	3	13	0	0	2	5	8.67	4	2	6	5	3	0	4
LVA_136.t1	4.08	0	5.62	0	4.17	20.33	0	3.45	0	1	0.25	0.58	0.58	1.67	1.20	0.20	3.08	1.53	0.20	1.20	0
LVA_10.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.20	0	0	0.50	0	0	0	0	0
LVA_1231.t1	4	0	12	31	20	7	4	11	0	1	26	3	57	31	37	17	5	14	5	193	12
LVA_751.t1	152.50	169	83	99.50	122	102.50	115	114	168.50	50.50	52.50	36	26	8.50	11.50	7	5.50	8.50	20.50	14.50	11.50
LVA_4.t1_LVA_6.t1	32	31.50	109.50	0.50	22.50	15.50	27.50	55.50	88.50	37.50	12.50	32.50	110.50	77	91	60.50	52	57.50	168	59	57
LVA_4.t1_LVA_6.t1.1.5f2d42ea	137.17	154.53	423.70	2.50	109.75	45.83	116.08	277.37	336.00	174.25	83.67	119.17	485.57	337.83	422.43	285.67	206.70	252.07	761.65	299.18	220.70
LVA_614.t1	212.00	224.00	259.00	317.00	1012.50	515.00	882.00	716.00	624.00	929.00	471.00	866.00	33.00	115.00	15.00	66.00	101.00	46.00	3	6.00	2
LVA_1105.t1	9	33	29.50	9.75	5.50	50.87	0	1	3	4.50	0	10	71.32	52.50	44.25	130.87	100.17	184.62	144.95	107.08	92.74
LVA_1098.t1	44.50	68.50	25	21.50	144	6.50	23.50	36	36	3.50	1	6.50	117	96.50	89.50	58	133	108.50	92.50	69.50	64.83
LVA_815.t1	0	0	1	0	0	0	0	0	0.50	0	0	0	6	3	2	5	10	8.50	7	2.50	4
LVA_1337.t1	1251	1538	1280	525	1086	1165	442	533	670	140	130	174	591	313	360	239	272	349	540	494	414
LVA_1020.t1	135.67	142	315.00	119.50	104	396.17	196	134.00	203.50	99.00	60.50	38	216.00	112	136	93.50	100.50	103	135.00	75.50	88
LVA_124.t1	1	4	1	2	0	1	0	1	0	3	1	7	1	0	0	2	1	2	22	32	32
LVA_74.t1	1	2	1	1	3	1	1	1	1	1	0	20	27	19	22	0	0	0	40	41	39
