"species","type","G1","G2","value"
"LV","EXP","Vegfr10",NA,"UMAPS/Gradient_plot_Lv_LVA10634t1Vegfr10.png"
"LV","EXP","Tbr",NA,"UMAPS/Gradient_plot_Lv_LVA12704t1Tbr.png"
"LV","EXP","p58b",NA,"UMAPS/Gradient_plot_Lv_LVA13091t1p58b.png"
"LV","EXP","Ets12",NA,"UMAPS/Gradient_plot_Lv_LVA13690t1Ets12.png"
"LV","EXP","Erg",NA,"UMAPS/Gradient_plot_Lv_LVA13883t1Erg.png"
"LV","EXP","Sm29",NA,"UMAPS/Gradient_plot_Lv_LVA18972t1Sm29.png"
"LV","EXP","Sm37",NA,"UMAPS/Gradient_plot_Lv_LVA19591t1Sm37.png"
"LV","EXP","Sm50",NA,"UMAPS/Gradient_plot_Lv_LVA19593t1Sm50.png"
"LV","EXP","FoxB",NA,"UMAPS/Gradient_plot_Lv_LVA21108t1FoxB.png"
"LV","EXP","Dr1",NA,"UMAPS/Gradient_plot_Lv_LVA21497t1Dr1.png"
"LV","EXP","Lim1",NA,"UMAPS/Gradient_plot_Lv_LVA26747t1Lim1.png"
"LV","EXP","Tgif",NA,"UMAPS/Gradient_plot_Lv_LVA27764t1Tgif.png"
"LV","EXP","Msp1301",NA,"UMAPS/Gradient_plot_Lv_LVA28884t1Msp1301.png"
"LV","EXP","FoxO1",NA,"UMAPS/Gradient_plot_Lv_LVA35307t1FoxO1.png"
"LV","EXP","Alx1",NA,"UMAPS/Gradient_plot_Lv_LVA5802t1Alx1.png"
"LV","coEXP","Tbr","Vegfr10","UMAPS/plot_LVA12704t1Tbr_and_LVA10634t1Vegfr10.png"
"LV","coEXP","Tbr","p58b","UMAPS/plot_LVA12704t1Tbr_and_LVA13091t1p58b.png"
"LV","coEXP","Tbr","Erg","UMAPS/plot_LVA12704t1Tbr_and_LVA13883t1Erg.png"
"LV","coEXP","Tbr","Sm29","UMAPS/plot_LVA12704t1Tbr_and_LVA18972t1Sm29.png"
"LV","coEXP","Tbr","Sm37","UMAPS/plot_LVA12704t1Tbr_and_LVA19591t1Sm37.png"
"LV","coEXP","Tbr","Sm50","UMAPS/plot_LVA12704t1Tbr_and_LVA19593t1Sm50.png"
"LV","coEXP","Tbr","FoxB","UMAPS/plot_LVA12704t1Tbr_and_LVA21108t1FoxB.png"
"LV","coEXP","Tbr","Dr1","UMAPS/plot_LVA12704t1Tbr_and_LVA21497t1Dr1.png"
"LV","coEXP","Tbr","Lim1","UMAPS/plot_LVA12704t1Tbr_and_LVA26747t1Lim1.png"
"LV","coEXP","Tbr","Tgif","UMAPS/plot_LVA12704t1Tbr_and_LVA27764t1Tgif.png"
