gene_1,gene_2,species,coex,hpf
alx1,pmar1,Lv,0.9689213893967094,6
alx1,pmar1,Lv,0.2944269190325973,9
alx1,pmar1,Lv,0.051639555899819264,12
alx1,pmar1,Lv,0,16
alx1,pmar1,Lv,0,20
alx1,pmar1,Lv,0,24
alx1,dr1,Lv,1.0968921389396709,6
alx1,dr1,Lv,4.353312302839116,9
alx1,dr1,Lv,1.3426284533953008,12
alx1,dr1,Lv,0.8050089445438283,16
alx1,dr1,Lv,0.3839824465167305,20
alx1,dr1,Lv,0.060642814,24
dr1,pmar1,Lv,2.084095063985375,6
dr1,pmar1,Lv,0.3785488958990536,9
dr1,pmar1,Lv,0.10327911179963853,12
dr1,pmar1,Lv,0.17889087656529518,16
dr1,pmar1,Lv,0.16456390565002746,20
dr1,pmar1,Lv,0,24
alx1,ets1,Lv,1.6636197440585008,6
alx1,ets1,Lv,4.2691903259726605,9
alx1,ets1,Lv,1.6266460108443066,12
alx1,ets1,Lv,0.4472271914132379,16
alx1,ets1,Lv,0.4388370817334065,20
alx1,ets1,Lv,0,24
ets1,pmar1,Lv,3.4917733089579523,6
ets1,pmar1,Lv,0.9463722397476341,9
ets1,pmar1,Lv,0.18073844564936745,12
ets1,pmar1,Lv,0,16
ets1,pmar1,Lv,0,20
ets1,pmar1,Lv,0,24
dr1,ets1,Lv,3.8208409506398535,6
dr1,ets1,Lv,5.068349106203996,9
dr1,ets1,Lv,1.6008262328943972,12
dr1,ets1,Lv,0.8944543828264758,16
dr1,ets1,Lv,1.7004936917169502,20
dr1,ets1,Lv,1.879927228623408,24
alx1,erg,Lv,0,6
alx1,erg,Lv,0,9
alx1,erg,Lv,0,12
alx1,erg,Lv,0,16
alx1,erg,Lv,0,20
alx1,erg,Lv,0,24
erg,pmar1,Lv,0,6
erg,pmar1,Lv,0,9
erg,pmar1,Lv,0,12
erg,pmar1,Lv,0,16
erg,pmar1,Lv,0,20
erg,pmar1,Lv,0,24
dr1,erg,Lv,0,6
dr1,erg,Lv,0,9
dr1,erg,Lv,0,12
dr1,erg,Lv,0,16
dr1,erg,Lv,0,20
dr1,erg,Lv,0,24
erg,ets1,Lv,0,6
erg,ets1,Lv,0,9
erg,ets1,Lv,0,12
erg,ets1,Lv,0,16
erg,ets1,Lv,0,20
erg,ets1,Lv,0,24
alx1,foxB,Lv,0.018281536,6
alx1,foxB,Lv,0.063091483,9
alx1,foxB,Lv,2.659437128840692,12
alx1,foxB,Lv,0.6261180679785331,16
alx1,foxB,Lv,0.2194185408667033,20
alx1,foxB,Lv,0,24
foxB,pmar1,Lv,0.073126143,6
foxB,pmar1,Lv,0,9
foxB,pmar1,Lv,0.10327911179963853,12
foxB,pmar1,Lv,0,16
foxB,pmar1,Lv,0,20
foxB,pmar1,Lv,0,24
dr1,foxB,Lv,0.036563071,6
dr1,foxB,Lv,0.063091483,9
dr1,foxB,Lv,1.6266460108443066,12
dr1,foxB,Lv,0.7155635062611807,16
dr1,foxB,Lv,0.3839824465167305,20
dr1,foxB,Lv,1.0915706488781078,24
ets1,foxB,Lv,0.2376599634369287,6
ets1,foxB,Lv,0.10515247108307044,9
ets1,foxB,Lv,2.0914020139426803,12
ets1,foxB,Lv,0.6261180679785331,16
ets1,foxB,Lv,0.16456390565002746,20
ets1,foxB,Lv,0.1212856276531231,24
erg,foxB,Lv,0,6
erg,foxB,Lv,0,9
erg,foxB,Lv,0,12
erg,foxB,Lv,0,16
erg,foxB,Lv,0,20
erg,foxB,Lv,0,24
alx1,foxN2,Lv,1.3345521023765996,6
alx1,foxN2,Lv,3.8485804416403786,9
alx1,foxN2,Lv,1.9106635682933129,12
alx1,foxN2,Lv,0.8944543828264758,16
alx1,foxN2,Lv,0.3291278113000549,20
alx1,foxN2,Lv,0.060642814,24
foxN2,pmar1,Lv,2.705667276051188,6
foxN2,pmar1,Lv,1.177707676130389,9
foxN2,pmar1,Lv,0.3614768912987349,12
foxN2,pmar1,Lv,0,16
foxN2,pmar1,Lv,0.27427317608337903,20
foxN2,pmar1,Lv,0,24
dr1,foxN2,Lv,3.053016453382084,6
dr1,foxN2,Lv,4.479495268138802,9
dr1,foxN2,Lv,2.0397624580428606,12
dr1,foxN2,Lv,1.9677996422182469,16
dr1,foxN2,Lv,5.4854635216675804,20
dr1,foxN2,Lv,5.882352941176469,24
ets1,foxN2,Lv,5.813528336380258,6
ets1,foxN2,Lv,10.788643533123029,9
ets1,foxN2,Lv,6.016008262328942,12
ets1,foxN2,Lv,3.667262969588552,16
ets1,foxN2,Lv,2.633022490400439,20
ets1,foxN2,Lv,0.7277137659187386,24
erg,foxN2,Lv,0,6
erg,foxN2,Lv,0,9
erg,foxN2,Lv,0,12
erg,foxN2,Lv,0,16
erg,foxN2,Lv,0,20
erg,foxN2,Lv,0,24
foxB,foxN2,Lv,0.054844607,6
foxB,foxN2,Lv,0.084121977,9
foxB,foxN2,Lv,2.3237800154918657,12
foxB,foxN2,Lv,0.6261180679785331,16
foxB,foxN2,Lv,0.4388370817334065,20
foxB,foxN2,Lv,0.2425712553062462,24
alx1,foxO,Lv,0.3290676416819013,6
alx1,foxO,Lv,1.0304942166140905,9
alx1,foxO,Lv,0.6713142266976504,12
alx1,foxO,Lv,0.26833631484794274,16
alx1,foxO,Lv,0.3291278113000549,20
alx1,foxO,Lv,0,24
foxO,pmar1,Lv,0.7678244972577696,6
foxO,pmar1,Lv,0.6309148264984227,9
foxO,pmar1,Lv,0.1549186676994578,12
foxO,pmar1,Lv,0,16
foxO,pmar1,Lv,0.10970927043335164,20
foxO,pmar1,Lv,0,24
dr1,foxO,Lv,0.4204753199268739,6
dr1,foxO,Lv,1.3038906414300735,9
dr1,foxO,Lv,1.3168086754453912,12
dr1,foxO,Lv,1.699463327370304,16
dr1,foxO,Lv,3.67526056,20
dr1,foxO,Lv,1.2128562765312312,24
ets1,foxO,Lv,2.321755027422303,6
ets1,foxO,Lv,2.544689800210305,9
ets1,foxO,Lv,1.1877097856958432,12
ets1,foxO,Lv,0.5366726296958855,16
ets1,foxO,Lv,1.3165112452002194,20
ets1,foxO,Lv,0.1212856276531231,24
erg,foxO,Lv,0,6
erg,foxO,Lv,0,9
erg,foxO,Lv,0,12
erg,foxO,Lv,0,16
erg,foxO,Lv,0,20
erg,foxO,Lv,0,24
foxB,foxO,Lv,0.054844607,6
foxB,foxO,Lv,0.021030494216614088,9
foxB,foxO,Lv,0.6971340046475601,12
foxB,foxO,Lv,0,16
foxB,foxO,Lv,0.27427317608337903,20
foxB,foxO,Lv,0.060642814,24
foxN2,foxO,Lv,1.206581352833638,6
foxN2,foxO,Lv,2.8391167192429023,9
foxN2,foxO,Lv,3.5373095791376192,12
foxN2,foxO,Lv,1.9677996422182469,16
foxN2,foxO,Lv,2.1941854086670323,20
foxN2,foxO,Lv,0.060642814,24
alx1,hesC,Lv,0.9140767824497258,6
alx1,hesC,Lv,1.0515247108307046,9
alx1,hesC,Lv,1.110250451846114,12
alx1,hesC,Lv,0.4472271914132379,16
alx1,hesC,Lv,0.054854635,20
alx1,hesC,Lv,0,24
hesC,pmar1,Lv,2.9250457038391224,6
hesC,pmar1,Lv,1.6824395373291272,9
hesC,pmar1,Lv,0.7745933384972892,12
hesC,pmar1,Lv,0.26833631484794274,16
hesC,pmar1,Lv,0.16456390565002746,20
hesC,pmar1,Lv,0,24
dr1,hesC,Lv,2.1937842778793417,6
dr1,hesC,Lv,0.9463722397476341,9
dr1,hesC,Lv,6.454944487477407,12
dr1,hesC,Lv,7.6923076923076925,16
dr1,hesC,Lv,7.789358200767965,20
dr1,hesC,Lv,3.9417828987265007,24
ets1,hesC,Lv,10.054844606946984,6
ets1,hesC,Lv,5.194532072,9
ets1,hesC,Lv,6.687322489026594,12
ets1,hesC,Lv,3.3989266547406083,16
ets1,hesC,Lv,1.0970927043335161,20
ets1,hesC,Lv,0.18192844147968465,24
erg,hesC,Lv,0,6
erg,hesC,Lv,0,9
erg,hesC,Lv,0,12
erg,hesC,Lv,0,16
erg,hesC,Lv,0,20
erg,hesC,Lv,0,24
foxB,hesC,Lv,0.21937842778793412,6
foxB,hesC,Lv,0.021030494216614088,9
foxB,hesC,Lv,1.7557449005938548,12
foxB,hesC,Lv,0.35778175313059035,16
foxB,hesC,Lv,0.054854635,20
foxB,hesC,Lv,0.060642814,24
foxN2,hesC,Lv,5.027422303473491,6
foxN2,hesC,Lv,6.372239747634069,9
foxN2,hesC,Lv,20.630002581977795,12
foxN2,hesC,Lv,8.855098389982109,16
foxN2,hesC,Lv,3.5655512890839285,20
foxN2,hesC,Lv,0.6670709520921769,24
foxO,hesC,Lv,3.4552102376599634,6
foxO,hesC,Lv,3.4700315457413247,9
foxO,hesC,Lv,6.764781822876322,12
foxO,hesC,Lv,3.3989266547406083,16
foxO,hesC,Lv,1.1519473395501922,20
foxO,hesC,Lv,0.18192844147968465,24
alx1,hex,Lv,1.1517367458866543,6
alx1,hex,Lv,4.332281808622502,9
alx1,hex,Lv,2.4012393493415956,12
alx1,hex,Lv,0.26833631484794274,16
alx1,hex,Lv,0.16456390565002746,20
alx1,hex,Lv,0.060642814,24
hex,pmar1,Lv,2.26691042,6
hex,pmar1,Lv,0.3364879074658254,9
hex,pmar1,Lv,0.18073844564936745,12
hex,pmar1,Lv,0,16
hex,pmar1,Lv,0.054854635,20
hex,pmar1,Lv,0,24
dr1,hex,Lv,2.8153564899451555,6
dr1,hex,Lv,5.194532072,9
dr1,hex,Lv,1.7299251226439452,12
dr1,hex,Lv,0.8050089445438283,16
dr1,hex,Lv,1.206801974766868,20
dr1,hex,Lv,2.4257125530624624,24
ets1,hex,Lv,5.2285191956124315,6
ets1,hex,Lv,5.678233438485805,9
ets1,hex,Lv,3.7696875806868064,12
ets1,hex,Lv,2.5044722719141324,16
ets1,hex,Lv,3.071859572133845,20
ets1,hex,Lv,1.0309278350515465,24
erg,hex,Lv,0,6
erg,hex,Lv,0,9
erg,hex,Lv,0,12
erg,hex,Lv,0,16
erg,hex,Lv,0,20
erg,hex,Lv,0,24
foxB,hex,Lv,0.16453382084095064,6
foxB,hex,Lv,0.063091483,9
foxB,hex,Lv,3.253292021688613,12
foxB,hex,Lv,0.26833631484794274,16
foxB,hex,Lv,0.054854635,20
foxB,hex,Lv,0.060642814,24
foxN2,hex,Lv,3.1627056672760516,6
foxN2,hex,Lv,5.699263932702419,9
foxN2,hex,Lv,5.318874257681384,12
foxN2,hex,Lv,1.878354204,16
foxN2,hex,Lv,2.7975863960504657,20
foxN2,hex,Lv,1.5767131594906003,24
foxO,hex,Lv,1.6819012797074957,6
foxO,hex,Lv,1.4931650893796005,9
foxO,hex,Lv,1.4459075651949391,12
foxO,hex,Lv,0.26833631484794274,16
foxO,hex,Lv,0.5485463521667581,20
foxO,hex,Lv,0.3032140691328078,24
hesC,hex,Lv,5.2650822669104205,6
hesC,hex,Lv,1.2407991587802314,9
hesC,hex,Lv,3.718048024786986,12
hesC,hex,Lv,1.2522361359570662,16
hesC,hex,Lv,0.6582556226001097,20
hesC,hex,Lv,0.6064281382656156,24
alx1,hnf6,Lv,0.8043875685557587,6
alx1,hnf6,Lv,0.8201892744479496,9
alx1,hnf6,Lv,0.5163955589981926,12
alx1,hnf6,Lv,0.089445438,16
alx1,hnf6,Lv,0.054854635,20
alx1,hnf6,Lv,0,24
hnf6,pmar1,Lv,2.888482632541133,6
hnf6,pmar1,Lv,1.4721345951629865,9
hnf6,pmar1,Lv,0.2323780015491867,12
hnf6,pmar1,Lv,0.17889087656529518,16
hnf6,pmar1,Lv,0.10970927043335164,20
hnf6,pmar1,Lv,0,24
dr1,hnf6,Lv,2.4497257769652654,6
dr1,hnf6,Lv,0.9043112513144059,9
dr1,hnf6,Lv,3.0467337980893365,12
dr1,hnf6,Lv,5.813953488372092,16
dr1,hnf6,Lv,15.523861766319255,20
dr1,hnf6,Lv,13.523347483323224,24
ets1,hnf6,Lv,9.853747714808044,6
ets1,hnf6,Lv,3.8485804416403786,9
ets1,hnf6,Lv,2.0655822359927702,12
ets1,hnf6,Lv,0.5366726296958855,16
ets1,hnf6,Lv,0.7679648930334613,20
ets1,hnf6,Lv,0.7883565797453002,24
erg,hnf6,Lv,0,6
erg,hnf6,Lv,0,9
erg,hnf6,Lv,0,12
erg,hnf6,Lv,0,16
