"gene_1","gene_2","species","coex","hpf"
"fgf","vegfr","Lv",0,6
"fgf","vegfr","Lv",0.164533820840951,9
"fgf","vegfr","Lv",5.11041009463722,12
"fgf","vegfr","Lv",4.90575781048283,16
"fgf","vegfr","Lv",2.68336314847943,20
"fgf","vegfr","Lv",2.52331321996709,24
"fgf","vegfr","Lv",0.727713765918739,6
"fgf","pks2","Lv",1,9
"fgf","pks2","Lv",0.036563071297989,12
"fgf","pks2","Lv",4.31125131440589,16
"fgf","pks2","Lv",4.10534469403563,20
"fgf","pks2","Lv",1.6994633273703,24
"fgf","pks2","Lv",0.932528798683489,6
"fgf","pks2","Lv",0,9
"pks2","vegfr","Lv",2,12
"pks2","vegfr","Lv",0,16
"pks2","vegfr","Lv",3.70136698212408,20
"pks2","vegfr","Lv",4.00206558223599,24
"pks2","vegfr","Lv",2.32558139534884,6
"pks2","vegfr","Lv",1.48107515085025,9
"pks2","vegfr","Lv",0.0606428138265615,12
"fgf","tbr","Lv",3,16
"fgf","tbr","Lv",5.70383912248629,20
"fgf","tbr","Lv",6.16193480546793,24
"fgf","tbr","Lv",4.77665892073328,6
"fgf","tbr","Lv",2.68336314847943,9
"fgf","tbr","Lv",1.70049369171695,12
"fgf","tbr","Lv",0.242571255306246,16
"tbr","vegfr","Lv",4,20
"tbr","vegfr","Lv",0.255941499085923,24
"tbr","vegfr","Lv",5.90956887486856,6
"tbr","vegfr","Lv",5.3705138135812,9
"tbr","vegfr","Lv",4.65116279069767,12
"tbr","vegfr","Lv",3.29127811300055,16
"tbr","vegfr","Lv",0.363856882959369,20
"pks2","tbr","Lv",5,24
"pks2","tbr","Lv",0.036563071297989,6
"pks2","tbr","Lv",4.41640378548896,9
"pks2","tbr","Lv",3.71804802478699,12
"pks2","tbr","Lv",2.14669051878354,16
"pks2","tbr","Lv",1.26165660998354,20
"pks2","tbr","Lv",0.121285627653123,24
"fgf","wnt1","Lv",6,6
"fgf","wnt1","Lv",5.37477148080439,9
"fgf","wnt1","Lv",4.71083070452156,12
"fgf","wnt1","Lv",2.42705912729151,16
"fgf","wnt1","Lv",0.268336314847943,20
"fgf","wnt1","Lv",0.548546352166758,24
"fgf","wnt1","Lv",0.667070952092177,6
"vegfr","wnt1","Lv",7,9
"vegfr","wnt1","Lv",0.182815356489945,12
