Orthogroup	H_tub.longestprot	E_luc.longestprot
OG0000000	HTU_21980	ELU_54037
OG0000000	HTU_29534	ELU_8261
OG0000000	HTU_13776	ELU_39920, ELU_39919
OG0000001	HTU_17342	ELU_45692, ELU_45683, ELU_45700
OG0000001	HTU_2266, HTU_2283, HTU_2252, HTU_2988, HTU_2253, HTU_2251, HTU_2254, HTU_2248, HTU_2987	ELU_4771, ELU_4765, ELU_4759, ELU_4750
OG0000001	HTU_2247	ELU_4770
OG0000001	HTU_2258	ELU_10717
OG0000001	HTU_3081	ELU_5241
OG0000001	HTU_2265, HTU_2985, HTU_2282, HTU_2250	ELU_294, ELU_292
OG0000001	HTU_2347	ELU_5419, ELU_5445, ELU_5478, ELU_5414
OG0000001	HTU_2263	ELU_10720, ELU_4773
OG0000001	HTU_2469	ELU_5249
OG0000001	HTU_2359, HTU_2341, HTU_2357, HTU_2348, HTU_2342, HTU_2346, HTU_2349, HTU_2358	ELU_5422, ELU_5423, ELU_5473, ELU_7795, ELU_5475, ELU_5420, ELU_5462, ELU_5432, ELU_5430, ELU_5458, ELU_5441, ELU_5436, ELU_5450, ELU_47534, ELU_5463, ELU_5413, ELU_5461, ELU_50427, ELU_5451, ELU_5467, ELU_5418, ELU_5456, ELU_5448
OG0000003	HTU_39382	ELU_1998
OG0000003	HTU_12117	ELU_97
OG0000003	HTU_12118	ELU_95, ELU_7820, ELU_32320, ELU_32093, ELU_29791, ELU_32094
OG0000003	HTU_2591	ELU_42778
OG0000004	HTU_36081	ELU_27423
OG0000004	HTU_10505	ELU_31201
OG0000004	HTU_38085	ELU_20885, ELU_20893
OG0000004	HTU_38476	ELU_19948
OG0000004	HTU_41912, HTU_12161, HTU_11467, HTU_11468	ELU_20886, ELU_20894
OG0000005	HTU_913	ELU_37976
OG0000005	HTU_1413	ELU_39200
OG0000005	HTU_3886	ELU_29380
OG0000005	HTU_2080, HTU_2054, HTU_2078, HTU_2052	ELU_30114, ELU_30118, ELU_51835
OG0000005	HTU_21400	ELU_49222
OG0000005	HTU_24754	ELU_13424, ELU_13434
OG0000005	HTU_11305, HTU_11283, HTU_11304	ELU_33162, ELU_33158, ELU_33175, ELU_33176, ELU_33172, ELU_33160, ELU_33166, ELU_33155, ELU_52786, ELU_33165, ELU_33152, ELU_33156
OG0000006	HTU_7140	ELU_7633
OG0000007	HTU_15403	ELU_4235, ELU_4239
OG0000007	HTU_16935	ELU_9795
OG0000007	HTU_16176	ELU_9125
OG0000007	HTU_16285	ELU_9545
OG0000007	HTU_15398	ELU_8679
OG0000007	HTU_16020	ELU_8910
OG0000007	HTU_16029	ELU_8918
OG0000007	HTU_16021	ELU_8911
OG0000007	HTU_15399	ELU_8678, ELU_8677
OG0000007	HTU_34227	ELU_26184, ELU_50882, ELU_16259
OG0000007	HTU_16023	ELU_8913
OG0000007	HTU_23718	ELU_42164
OG0000007	HTU_15402, HTU_15401	ELU_4236
OG0000007	HTU_16438	ELU_32044
OG0000007	HTU_16030	ELU_8919
OG0000007	HTU_38102	ELU_19347, ELU_19342
OG0000007	HTU_16022	ELU_8912
OG0000007	HTU_16032, HTU_16028	ELU_8917, ELU_8443, ELU_8450, ELU_8444
OG0000007	HTU_16027	ELU_44971
OG0000008	HTU_15931	ELU_52120, ELU_35148, ELU_37308, ELU_21061, ELU_11559, ELU_7187
OG0000009	HTU_39487, HTU_39627, HTU_39805	ELU_19667
OG0000011	HTU_39421, HTU_39369	ELU_51235, ELU_43716
