Orthogroup	L_var.longestprot	H_ery.longestprot
OG0000000	LVA_14292	HER_26543, HER_11760, HER_41324, HER_1131, HER_31502, HER_12464, HER_7440, HER_21234, HER_9914, HER_43266, HER_45501, HER_41468
OG0000001	LVA_16538	HER_19865
OG0000001	LVA_5108, LVA_5107, LVA_5112	HER_35117, HER_35126, HER_35119, HER_35129, HER_35140, HER_35135
OG0000003	LVA_18692	HER_7242
OG0000003	LVA_8317, LVA_8306	HER_26171
OG0000003	LVA_9151	HER_9837
OG0000003	LVA_9091	HER_5644, HER_25732, HER_26146
OG0000004	LVA_2511	HER_47897
OG0000004	LVA_35639	HER_6359, HER_6348
OG0000004	LVA_35634, LVA_35664	HER_6364, HER_6317
OG0000004	LVA_35656	HER_6338
OG0000004	LVA_35632	HER_6340
OG0000004	LVA_35642, LVA_35646	HER_6346, HER_6358
OG0000004	LVA_20288	HER_11288
OG0000004	LVA_21459	HER_11287, HER_11285
OG0000004	LVA_13844, LVA_5908	HER_12558, HER_12554
OG0000004	LVA_1615	HER_48220, HER_48237
OG0000004	LVA_25450, LVA_25538	HER_319
OG0000005	LVA_27926	HER_4379, HER_4381, HER_4380, HER_4378, HER_4377, HER_4375, HER_3768, HER_3781, HER_3737, HER_187
OG0000005	LVA_16750	HER_20779
OG0000005	LVA_32010	HER_9928
OG0000005	LVA_36817, LVA_6049	HER_16693
OG0000005	LVA_37052	HER_28148
OG0000005	LVA_13015	HER_21532
OG0000006	LVA_7773, LVA_7834, LVA_7734, LVA_7848, LVA_7850, LVA_8111, LVA_7767, LVA_8115, LVA_8125, LVA_7843, LVA_7726, LVA_7732, LVA_7728, LVA_7751, LVA_9077, LVA_9032, LVA_9177, LVA_8994, LVA_9056, LVA_8166, LVA_9066, LVA_9021, LVA_9037	HER_34278, HER_34235, HER_25483, HER_25515, HER_34258, HER_25631, HER_34412, HER_34416, HER_33690, HER_33674, HER_33667
OG0000007	LVA_35454	HER_35846
OG0000007	LVA_34888	HER_35215
OG0000007	LVA_33127, LVA_33249	HER_37019
OG0000007	LVA_33640, LVA_34491	HER_36168
OG0000007	LVA_33752, LVA_34387	HER_36328, HER_36365
OG0000007	LVA_34851	HER_35210
OG0000007	LVA_35417, LVA_35468	HER_35854
OG0000007	LVA_35466, LVA_35418	HER_35855
OG0000007	LVA_34852	HER_35211
OG0000007	LVA_35422	HER_35860, HER_35859
OG0000007	LVA_30430	HER_39633
OG0000007	LVA_35420, LVA_35464	HER_35857
OG0000007	LVA_34853	HER_35212
OG0000007	LVA_34854	HER_35214, HER_35213
OG0000007	LVA_32959, LVA_32790	HER_36532
OG0000007	LVA_35456, LVA_35428	HER_35864
OG0000007	LVA_14378, LVA_35421, LVA_35463	HER_35858
OG0000007	LVA_35465	HER_35856
OG0000007	LVA_35460, LVA_35425	HER_35862
OG0000008	LVA_21991	HER_43319
OG0000009	LVA_14787, LVA_14786, LVA_14785, LVA_14789, LVA_14790, LVA_14841	HER_42232
OG0000012	LVA_27998	HER_27976
OG0000012	LVA_34737	HER_4722
OG0000013	LVA_8614, LVA_6551, LVA_27377	HER_27608, HER_34461, HER_22146, HER_27536, HER_15965
OG0000013	LVA_31256, LVA_26872	HER_28426, HER_43683
OG0000013	LVA_34874	HER_24592, HER_19413
OG0000013	LVA_15614	HER_14473
OG0000013	LVA_13502	HER_31115, HER_2259
OG0000013	LVA_8615	HER_42687
OG0000015	LVA_17384, LVA_17385	HER_486, HER_488, HER_482, HER_472, HER_485, HER_466
OG0000015	LVA_14600, LVA_14607, LVA_14604, LVA_14602, LVA_14603	HER_542
OG0000016	LVA_22591	HER_26044
