name,orthogroup,LV,HT,HE
Vegfr10,OG0011843,LVA_10634,HTU_30768,HER_48314
Tbr,OG0011779,LVA_12704,HTU_24801,HER_21600
p58b,OG0011816,LVA_13091,HTU_24531,HER_21268
Sm29,OG0006310,LVA_18972,HTU_2649,HER_26231
Sm37,OG0011010,LVA_19591,HTU_2673,HER_26255
FoxB,OG0016828,LVA_21108,HTU_10700,HER_11066
Dr1,OG0007036,LVA_21497,HTU_9106,HER_9959
Lim1,OG0013365,LVA_26747,HTU_12749,HER_2641
Tgif,OG0013496,LVA_27764,HTU_2154,HER_4286
Alx1,OG0009248,LVA_5802,HTU_21916,HER_12794
