Orthogroup	H_ery.longestprot	E_luc.longestprot
OG0000000	HER_26543	ELU_54037
OG0000000	HER_12464	ELU_45952, ELU_8261
OG0000000	HER_29971	ELU_39920, ELU_39919
OG0000001	HER_19865	ELU_45692, ELU_45683, ELU_45700
OG0000001	HER_26649, HER_26645, HER_26640, HER_26644, HER_26638, HER_26642, HER_26643, HER_26639, HER_26646, HER_26648	ELU_4771, ELU_4765, ELU_4759, ELU_4750
OG0000001	HER_25841	ELU_5437, ELU_5433, ELU_5468, ELU_5449, ELU_5416
OG0000001	HER_26768	ELU_5241
OG0000001	HER_25817, HER_11059, HER_25844	ELU_5419, ELU_5445, ELU_5478, ELU_5414
OG0000001	HER_25822, HER_25823, HER_25836	ELU_5443, ELU_5434
OG0000001	HER_35117, HER_35126, HER_35119, HER_35129, HER_35140, HER_35135	ELU_5249
OG0000001	HER_9647, HER_25821, HER_25826, HER_25818, HER_25840, HER_25831, HER_25827, HER_25833, HER_11063, HER_25843, HER_11061, HER_11062, HER_25847, HER_25814	ELU_5422, ELU_5423, ELU_5473, ELU_7795, ELU_5475, ELU_5420, ELU_5462, ELU_5432, ELU_5430, ELU_5458, ELU_5441, ELU_5436, ELU_5450, ELU_47534, ELU_5463, ELU_5413, ELU_5461, ELU_50427, ELU_5451, ELU_5467, ELU_5418, ELU_5456, ELU_5448
OG0000003	HER_7242	ELU_1998
OG0000003	HER_25734	ELU_97
OG0000003	HER_9842	ELU_4608, ELU_7825
OG0000003	HER_25733	ELU_93
OG0000003	HER_26420	ELU_47298, ELU_47297, ELU_47301, ELU_52012, ELU_51684, ELU_51683, ELU_32088, ELU_22242, ELU_47307
OG0000003	HER_26171	ELU_47501
OG0000003	HER_26143, HER_26410, HER_25698, HER_25719, HER_25808, HER_25739, HER_26407, HER_26416, HER_26165, HER_9838	ELU_95, ELU_7820, ELU_32320, ELU_32093, ELU_29791, ELU_32094
OG0000003	HER_5644, HER_25732, HER_26146	ELU_32317
OG0000003	HER_34810	ELU_42778
OG0000004	HER_6370	ELU_27423
OG0000004	HER_11288	ELU_31201
OG0000004	HER_12558, HER_12554	ELU_19948
OG0000004	HER_48220, HER_48237, HER_319, HER_320	ELU_20886, ELU_20894
OG0000005	HER_4379	ELU_38941, ELU_38936
OG0000005	HER_3768, HER_3781, HER_3737, HER_187	ELU_37976
OG0000005	HER_16558, HER_16563, HER_6790	ELU_29380
OG0000005	HER_9928	ELU_30114, ELU_30118, ELU_51835
OG0000005	HER_16693	ELU_662, ELU_51558
OG0000005	HER_451	ELU_2970
OG0000005	HER_28148	ELU_46513, ELU_6768
OG0000005	HER_14695	ELU_51834
OG0000005	HER_21532	ELU_13424, ELU_13434
OG0000005	HER_270, HER_456, HER_450, HER_267, HER_452, HER_261, HER_459, HER_448, HER_29589, HER_259, HER_148, HER_161, HER_153, HER_438	ELU_33162, ELU_33158, ELU_33175, ELU_33176, ELU_33172, ELU_33160, ELU_33166, ELU_33155, ELU_52786, ELU_33165, ELU_33152, ELU_33156
OG0000005	HER_42448	ELU_10201, ELU_10200, ELU_20078, ELU_20076, ELU_41483
OG0000007	HER_35215	ELU_4235, ELU_4239
OG0000007	HER_37019	ELU_9795
OG0000007	HER_36168	ELU_9125
OG0000007	HER_36328, HER_36365	ELU_9545
OG0000007	HER_35210	ELU_8679
OG0000007	HER_35854	ELU_8910
OG0000007	HER_35855	ELU_8911
OG0000007	HER_35211	ELU_8678, ELU_8677
OG0000007	HER_35860, HER_35859	ELU_4238
OG0000007	HER_39630, HER_39633	ELU_26184, ELU_50882, ELU_16259
OG0000007	HER_35857	ELU_8913
OG0000007	HER_24404, HER_24407	ELU_42164
OG0000007	HER_35214, HER_35213	ELU_4236
OG0000007	HER_36532	ELU_32044
OG0000007	HER_35864	ELU_8919
OG0000007	HER_41953	ELU_19347, ELU_19342
OG0000007	HER_35856	ELU_8912
OG0000007	HER_35876, HER_35862	ELU_8917, ELU_8443, ELU_8450, ELU_8444
OG0000007	HER_35861, HER_35863	ELU_44971
OG0000008	HER_26180, HER_42976	ELU_52120, ELU_35148, ELU_37308, ELU_21061, ELU_11559, ELU_7187
OG0000008	HER_13221	ELU_2001, ELU_22404
OG0000008	HER_43319, HER_22385	ELU_35775
OG0000009	HER_42212, HER_42198	ELU_19667, ELU_19658, ELU_19669
OG0000009	HER_42191, HER_42187, HER_42188, HER_42243, HER_42225, HER_42186, HER_42248	ELU_19657, ELU_19668, ELU_220, ELU_213
OG0000009	HER_42232	ELU_47543, ELU_7205, ELU_7215
OG0000010	HER_39241, HER_5809, HER_22901, HER_21080, HER_43602	ELU_28256
OG0000010	HER_45437, HER_21202, HER_18508, HER_32836, HER_42154, HER_39254, HER_22956, HER_35375, HER_46487, HER_37241, HER_5240, HER_5060, HER_5252, HER_47234, HER_11797, HER_47277, HER_37255, HER_8308, HER_39246, HER_27646, HER_34098, HER_12107	ELU_41804
OG0000010	HER_22926, HER_42677, HER_25959, HER_31804, HER_17805, HER_878, HER_26969, HER_20435, HER_34146, HER_49226, HER_44952, HER_44656, HER_32254, HER_15663, HER_15906, HER_39209, HER_44001, HER_36091, HER_869, HER_27189, HER_8507, HER_41229, HER_47233, HER_13606, HER_34625, HER_33329, HER_30229, HER_21223, HER_858, HER_3497, HER_9413, HER_47026, HER_12705, HER_45401, HER_24754, HER_37256, HER_36087, HER_31253, HER_25468, HER_30223, HER_3492, HER_26493, HER_14324, HER_22902, HER_27183, HER_12664, HER_31251, HER_11785, HER_19216, HER_8508, HER_12970, HER_36423, HER_8, HER_2099, HER_39107, HER_18752, HER_28385, HER_18751, HER_45467, HER_m31594, HER_29150, HER_49247, HER_31977, HER_9843, HER_30269, HER_25903, HER_31252, HER_31749, HER_31725, HER_30230, HER_983, HER_39217, HER_39216, HER_36108, HER_5813, HER_36096, HER_32296, HER_34177, HER_43572, HER_3494, HER_22911, HER_22872	ELU_49812
OG0000011	HER_42989, HER_43455, HER_42712, HER_42736, HER_42706, HER_42729	ELU_51235, ELU_43716
OG0000011	HER_43056, HER_43478, HER_43038	ELU_32743, ELU_27938, ELU_12803, ELU_44686, ELU_32746, ELU_44059, ELU_32497, ELU_51749, ELU_47696, ELU_46180, ELU_1336, ELU_51693, ELU_3387, ELU_47319, ELU_9941, ELU_46636, ELU_2437, ELU_43371, ELU_52319, ELU_19003, ELU_18, ELU_1421, ELU_1985, ELU_37315, ELU_47329, ELU_52241, ELU_13528, ELU_10752, ELU_46170, ELU_47685, ELU_6172, ELU_41592, ELU_34744, ELU_1494, ELU_44516, m1-g49916, ELU_288, ELU_13527, ELU_44788
OG0000011	HER_43438, HER_43446, HER_43421, HER_28843, HER_43441, HER_43416, HER_28839, HER_43425, HER_43555, HER_43432, HER_43440, HER_28844, HER_43470	ELU_47684, ELU_10753, ELU_51615, ELU_287, ELU_13529, ELU_32330, ELU_1317, ELU_6171, ELU_43364, ELU_50599, ELU_44517, ELU_43251, ELU_46171, ELU_46663, ELU_46757, ELU_41375, ELU_7585, ELU_52524, ELU_60, ELU_52538, ELU_446, ELU_44541, ELU_51858, ELU_52253, ELU_283
OG0000012	HER_42861, HER_42875, HER_42874, HER_42862, HER_42864, HER_42877	ELU_41485
OG0000012	HER_42447	ELU_41490, ELU_41479
OG0000012	HER_19692	ELU_45781, ELU_45784, ELU_45785
OG0000012	HER_5542, HER_5552, HER_16193, HER_5530	ELU_15208, ELU_18244
OG0000012	HER_19687	ELU_45783
OG0000012	HER_4722	ELU_39241
OG0000013	HER_27608, HER_34461, HER_22146, HER_27536, HER_15965	ELU_25214
OG0000013	HER_28426, HER_43683, HER_24592, HER_19413	ELU_39373
OG0000014	HER_28983, HER_41431, HER_7223, HER_26786, HER_37885, HER_34585, HER_3104, HER_19709, HER_45464, HER_41022, HER_15644, HER_3366, HER_42656, HER_43107, HER_41099, HER_29071, HER_40765, HER_43087	ELU_20298
