Orthogroup	L_var.longestprot
OG0000000	LVA_14292
OG0000000	LVA_615
OG0000001	LVA_16538
OG0000001	LVA_5107
OG0000001	LVA_5108
OG0000001	LVA_5112
OG0000003	LVA_18692
OG0000003	LVA_4864
OG0000003	LVA_4873
OG0000003	LVA_8306
OG0000003	LVA_8317
OG0000003	LVA_9091
OG0000003	LVA_9151
OG0000004	LVA_13844
OG0000004	LVA_1615
OG0000004	LVA_20288
OG0000004	LVA_21459
OG0000004	LVA_2511
OG0000004	LVA_25450
OG0000004	LVA_25538
OG0000004	LVA_28770
OG0000004	LVA_35630
OG0000004	LVA_35632
OG0000004	LVA_35634
OG0000004	LVA_35637
OG0000004	LVA_35639
OG0000004	LVA_35642
OG0000004	LVA_35646
OG0000004	LVA_35650
OG0000004	LVA_35656
OG0000004	LVA_35661
OG0000004	LVA_35664
OG0000004	LVA_5908
OG0000005	LVA_13015
OG0000005	LVA_1387
OG0000005	LVA_16750
OG0000005	LVA_23330
OG0000005	LVA_23429
OG0000005	LVA_27482
OG0000005	LVA_27556
OG0000005	LVA_27926
OG0000005	LVA_32010
OG0000005	LVA_36817
OG0000005	LVA_37052
OG0000005	LVA_6049
OG0000006	LVA_7726
OG0000006	LVA_7728
OG0000006	LVA_7732
OG0000006	LVA_7734
OG0000006	LVA_7751
OG0000006	LVA_7767
OG0000006	LVA_7773
OG0000006	LVA_7834
OG0000006	LVA_7843
OG0000006	LVA_7848
OG0000006	LVA_7850
OG0000006	LVA_8111
OG0000006	LVA_8115
OG0000006	LVA_8125
OG0000006	LVA_8166
OG0000006	LVA_8994
OG0000006	LVA_9021
OG0000006	LVA_9032
OG0000006	LVA_9037
OG0000006	LVA_9056
OG0000006	LVA_9066
OG0000006	LVA_9077
OG0000006	LVA_9177
OG0000007	LVA_14378
OG0000007	LVA_14379
OG0000007	LVA_30430
OG0000007	LVA_32790
OG0000007	LVA_32821
OG0000007	LVA_32922
OG0000007	LVA_32959
OG0000007	LVA_33127
OG0000007	LVA_33249
OG0000007	LVA_33640
OG0000007	LVA_33752
OG0000007	LVA_34387
OG0000007	LVA_34491
OG0000007	LVA_34851
OG0000007	LVA_34852
OG0000007	LVA_34853
OG0000007	LVA_34854
OG0000007	LVA_34888
OG0000007	LVA_35417
OG0000007	LVA_35418
OG0000007	LVA_35420
OG0000007	LVA_35421
OG0000007	LVA_35422
OG0000007	LVA_35424
OG0000007	LVA_35425
OG0000007	LVA_35426
OG0000007	LVA_35427
OG0000007	LVA_35428
OG0000007	LVA_35454
OG0000007	LVA_35456
OG0000007	LVA_35457
OG0000007	LVA_35459
OG0000007	LVA_35460
OG0000007	LVA_35461
OG0000007	LVA_35463
OG0000007	LVA_35464
OG0000007	LVA_35465
OG0000007	LVA_35466
OG0000007	LVA_35468
OG0000008	LVA_10857
OG0000008	LVA_15356
OG0000008	LVA_17404
OG0000008	LVA_21991
OG0000008	LVA_7582
OG0000008	LVA_9129
OG0000009	LVA_14785
OG0000009	LVA_14786
OG0000009	LVA_14787
OG0000009	LVA_14789
OG0000009	LVA_14790
OG0000009	LVA_14798
OG0000009	LVA_14800
OG0000009	LVA_14801
OG0000009	LVA_14841
OG0000009	LVA_14845
OG0000009	LVA_14848
OG0000009	LVA_14851
OG0000009	LVA_14853
OG0000009	LVA_14854
OG0000009	LVA_14866
OG0000012	LVA_15236
OG0000012	LVA_27998
OG0000012	LVA_34737
OG0000012	LVA_8820
OG0000012	LVA_8972
OG0000013	LVA_13502
OG0000013	LVA_15614
OG0000013	LVA_26872
OG0000013	LVA_27377
OG0000013	LVA_31256
OG0000013	LVA_34874
OG0000013	LVA_6551
OG0000013	LVA_8614
OG0000013	LVA_8615
OG0000015	LVA_14600
OG0000015	LVA_14602
OG0000015	LVA_14603
OG0000015	LVA_14604
OG0000015	LVA_14607
OG0000015	LVA_17384
OG0000015	LVA_17385
OG0000016	LVA_22591
OG0000017	LVA_13547
OG0000017	LVA_14141
OG0000017	LVA_32125
OG0000017	LVA_33212
OG0000017	LVA_36859
OG0000018	LVA_14660
OG0000018	LVA_16427
OG0000018	LVA_16428
OG0000018	LVA_16429
OG0000018	LVA_16430
OG0000018	LVA_16431
OG0000018	LVA_16432
OG0000018	LVA_36470
OG0000018	LVA_7594
OG0000018	LVA_7595
OG0000018	LVA_7600
OG0000018	LVA_7604
OG0000018	LVA_7605
OG0000018	LVA_7606
OG0000018	LVA_7618
OG0000018	LVA_7620
