Orthogroup	H_ery.longestprot
OG0000000	HER_26543
OG0000000	HER_12464
OG0000000	HER_29971
OG0000001	HER_19865
OG0000001	HER_26649,HER_26645,HER_26640,HER_26644,HER_26638,HER_26642,HER_26643,HER_26639,HER_26646,HER_26648
OG0000001	HER_25841
OG0000001	HER_26768
OG0000001	HER_25817,HER_11059,HER_25844
OG0000001	HER_25822,HER_25823,HER_25836
OG0000001	HER_35117,HER_35126,HER_35119,HER_35129,HER_35140,HER_35135
OG0000001	HER_9647,HER_25821,HER_25826,HER_25818,HER_25840,HER_25831,HER_25827,HER_25833,HER_11063,HER_25843,HER_11061,HER_11062,HER_25847,HER_25814
OG0000003	HER_7242
OG0000003	HER_25734
OG0000003	HER_9842
OG0000003	HER_25733
OG0000003	HER_26420
OG0000003	HER_26171
OG0000003	HER_26143,HER_26410,HER_25698,HER_25719,HER_25808,HER_25739,HER_26407,HER_26416,HER_26165,HER_9838
OG0000003	HER_5644,HER_25732,HER_26146
OG0000003	HER_34810
OG0000004	HER_6370
OG0000004	HER_11288
OG0000004	HER_12558,HER_12554
OG0000004	HER_48220,HER_48237,HER_319,HER_320
OG0000005	HER_4379
OG0000005	HER_3768,HER_3781,HER_3737,HER_187
OG0000005	HER_16558,HER_16563,HER_6790
OG0000005	HER_9928
OG0000005	HER_16693
OG0000005	HER_451
OG0000005	HER_28148
OG0000005	HER_14695
OG0000005	HER_21532
OG0000005	HER_270,HER_456,HER_450,HER_267,HER_452,HER_261,HER_459,HER_448,HER_29589,HER_259,HER_148,HER_161,HER_153,HER_438
OG0000005	HER_42448
OG0000007	HER_35215
OG0000007	HER_37019
OG0000007	HER_36168
OG0000007	HER_36328,HER_36365
OG0000007	HER_35210
OG0000007	HER_35854
OG0000007	HER_35855
OG0000007	HER_35211
OG0000007	HER_35860,HER_35859
OG0000007	HER_39630,HER_39633
OG0000007	HER_35857
OG0000007	HER_24404,HER_24407
OG0000007	HER_35214,HER_35213
OG0000007	HER_36532
OG0000007	HER_35864
OG0000007	HER_41953
OG0000007	HER_35856
OG0000007	HER_35876,HER_35862
OG0000007	HER_35861,HER_35863
OG0000008	HER_26180,HER_42976
OG0000008	HER_13221
OG0000008	HER_43319,HER_22385
OG0000009	HER_42212,HER_42198
OG0000009	HER_42191,HER_42187,HER_42188,HER_42243,HER_42225,HER_42186,HER_42248
OG0000009	HER_42232
OG0000010	HER_39241,HER_5809,HER_22901,HER_21080,HER_43602
OG0000010	HER_45437,HER_21202,HER_18508,HER_32836,HER_42154,HER_39254,HER_22956,HER_35375,HER_46487,HER_37241,HER_5240,HER_5060,HER_5252,HER_47234,HER_11797,HER_47277,HER_37255,HER_8308,HER_39246,HER_27646,HER_34098,HER_12107
OG0000010	HER_22926,HER_42677,HER_25959,HER_31804,HER_17805,HER_878,HER_26969,HER_20435,HER_34146,HER_49226,HER_44952,HER_44656,HER_32254,HER_15663,HER_15906,HER_39209,HER_44001,HER_36091,HER_869,HER_27189,HER_8507,HER_41229,HER_47233,HER_13606,HER_34625,HER_33329,HER_30229,HER_21223,HER_858,HER_3497,HER_9413,HER_47026,HER_12705,HER_45401,HER_24754,HER_37256,HER_36087,HER_31253,HER_25468,HER_30223,HER_3492,HER_26493,HER_14324,HER_22902,HER_27183,HER_12664,HER_31251,HER_11785,HER_19216,HER_8508,HER_12970,HER_36423,HER_8,HER_2099,HER_39107,HER_18752,HER_28385,HER_18751,HER_45467,HER_m31594,HER_29150,HER_49247,HER_31977,HER_9843,HER_30269,HER_25903,HER_31252,HER_31749,HER_31725,HER_30230,HER_983,HER_39217,HER_39216,HER_36108,HER_5813,HER_36096,HER_32296,HER_34177,HER_43572,HER_3494,HER_22911,HER_22872
OG0000011	HER_42989,HER_43455,HER_42712,HER_42736,HER_42706,HER_42729
OG0000011	HER_43056,HER_43478,HER_43038
OG0000011	HER_43438,HER_43446,HER_43421,HER_28843,HER_43441,HER_43416,HER_28839,HER_43425,HER_43555,HER_43432,HER_43440,HER_28844,HER_43470
OG0000012	HER_42861,HER_42875,HER_42874,HER_42862,HER_42864,HER_42877
OG0000012	HER_42447
OG0000012	HER_19692
OG0000012	HER_5542,HER_5552,HER_16193,HER_5530
OG0000012	HER_19687
OG0000012	HER_4722
OG0000013	HER_27608,HER_34461,HER_22146,HER_27536,HER_15965
OG0000013	HER_28426,HER_43683,HER_24592,HER_19413
