L_var_ID	Orthogroup	LVeggA	LVeggB	LVeggC	LV4cA	LV4cB	LV4cC	LV16cA	LV16cB	LV16cC	LV32cA	LV32cB	LV32cC	LVblA	LVblB	LVblC	LVgaA	LVgaB	LVgaC	LVprA	LVprB	LVprC
LVA_-g11245	NA	0	0	0	0	0	0	1	0	0	3	0	0	5	0	8	1	3	3	4	8	3
LVA_-g26308	NA	1	1	2	1	7	0	6	4	2	1	4	4	3	3	1	18	6	5	32	55	43
LVA_-g28240	NA	1	2	3	10	33	4	12	22	4	15	24	14	6	4	8	15	9	11	7	6	7
LVA_-g29644	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
LVA_-g36108	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
LVA_-g7610	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_1	OG0005419	739	755	866	764	933	969	969	1016	798	479	1302	1522	1774	1227	1081	2043	1296	1194	1286	863	1025
LVA_10	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_1000	OG0000053	7	12	6	14	2	9	2	1	2	0	0	0	4	2	4	7	0	2	4	2	0
LVA_10002	OG0011495	5	4	0	27	12	3	23	31	0	1	0	17	0	0	27	21	1	10	11	16	9
LVA_10004	OG0002324	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LVA_10006	NA	1	1	1	2	1	1	1	1	2	0	6	1	8	21	21	18	3	3	1	1	1
LVA_10007	OG0011541	2	1	0	0	0	0	1	1	0	0	1	0	2	1	1	0	2	0	0	0	0
LVA_10008	OG0001762	50	8	20	36	57	18	98	116	54	38	95	82	754	450	384	583	406	444	396	419	246
LVA_10010	OG0008743	13	19	24	42	44	74	58	88	32	22	41	31	872	807	1106	1509	934	1172	903	644	613
LVA_10011	NA	60	129	111	70	36	214	78	75	38	157	319	38	18	62	74	16	2	12	2	2	1
LVA_10012	OG0000099	0	0	0	0	1	0	0	1	0	0	0	4	0	0	2	0	1	0	0	0	0
LVA_10014	OG0002063	8	8	5	8	2	5	3	2	4	4	8	2	1	0	4	0	0	0	0	0	2
LVA_10015	OG0001585	211	139	568	2357	1976	709	1040	1081	1017	440	2408	1932	158	250	133	262	128	182	337	218	231
LVA_10016	OG0002240	495	154	276	290	356	248	158	163	573	213	263	723	451	504	519	623	303	626	490	274	200
LVA_10019	OG0000051	4	2	0	0	2	4	0	0	0	0	0	17	5	8	12	8	7	7	11	5	7
LVA_1002	OG0017381	0	2	0	2	0	2	0	0	2	0	7	0	0	0	0	4	1	0	0	1	0
LVA_10020	OG0000245	0	2	0	0	1	0	0	0	0	0	0	0	0	0	19	10	4	0	0	15	4
LVA_10021	OG0018681	1	0	1	0	0	1	4	7	0	0	1	1	17	32	11	30	41	6	0	18	12
LVA_10023	NA	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	2	0	2	2	1
LVA_10030	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	1
LVA_10034	OG0000040	5	4	11	33	28	24	42	41	31	22	51	44	195	195	488	289	238	218	340	371	380
LVA_10035	OG0000245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10039	OG0000245	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
LVA_1004	OG0000632	0	2	4	2	5	6	0	0	17	36	5	0	0	0	0	10	0	0	0	0	3
LVA_10040	OG0000245	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10041	OG0004555	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LVA_10042	OG0008786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2
